PM2.5,NO2,NH3,SO2,O3,AQI,Y_Pred,Y Class,Y_Pred Class
26.47,17.03,23.63,11.13,20.59,82,79.51272368,Satisfactory,Moderate
27.97,17.3,23.09,12.8,22.13,107,79.58989056,Moderate,Moderate
27.86,17.24,26.37,9.81,20.26,86,79.07387657,Satisfactory,Moderate
26.89,16.89,26.56,11.61,24.66,88,81.24538237,Satisfactory,Moderate
28.78,17.02,25.26,12.2,24.13,148,82.43291043,Moderate,Moderate
31.49,15.04,29.07,14.18,19.44,79,83.26978438,Satisfactory,Moderate
32.09,14.96,23.77,12.68,18.16,82,81.55788098,Satisfactory,Moderate
29.23,15.72,24.6,11.18,23.09,79,83.20100628,Satisfactory,Moderate
30.94,15.18,23.52,12.36,22.54,128,82.00051759,Moderate,Moderate
29.62,14,24.65,9.85,22.76,77,80.82995486,Satisfactory,Moderate
29.73,12.96,22.52,11.55,20.48,74,82.71639637,Satisfactory,Moderate
30.34,10.69,23.18,8.44,22.81,70,83.60295471,Satisfactory,Moderate
31.63,10.45,23.56,11.12,22.77,116,91.57083608,Moderate,Poor
35.42,10.47,24.9,12.1,34.03,77,81.02152661,Satisfactory,Moderate
27.32,10.48,25.08,10.2,32.15,197,80.97681039,Moderate,Moderate
27.69,10.76,23.36,10.36,30.29,214,95.37099547,Poor,Poor
39.77,11.93,24.32,12.19,26.91,121,82.43967962,Moderate,Moderate
31.65,10.81,25.1,11.9,19.27,84,92.39258471,Satisfactory,Poor
39.97,10.01,24.19,10.22,15.36,131,95.65242724,Moderate,Poor
41.94,10.75,23.73,12.38,19.24,153,134.6896223,Moderate,Very Poor
65.79,9.7,23.06,12.36,47.29,171,161.7942792,Moderate,Very Poor
86.4,10.03,25.37,16.69,52.35,165,127.7814945,Moderate,Very Poor
61.69,10.08,23.16,12.7,41.98,176,102.3231798,Moderate,Poor
44.26,10.47,24.47,11.8,31.31,224,100.2614787,Poor,Poor
42.71,10.73,25.7,14.96,33.91,154,103.6057172,Moderate,Poor
46.97,11.77,22.48,11.92,22.96,188,97.03279277,Moderate,Poor
42.17,10.78,23.43,12.23,22.74,135,103.2280151,Moderate,Poor
47,12.94,24.93,12.86,21.73,84,109.9708421,Satisfactory,Poor
49.45,15.21,23.82,12.05,31.57,107,105.8949319,Moderate,Poor
46.7,13.7,29.51,13.31,32.14,89,88.49918422,Satisfactory,Moderate
33.87,10.87,22.41,12.95,30.89,136,86.94818113,Moderate,Moderate
33,11.79,22.99,12.52,28.49,94,93.0983817,Satisfactory,Poor
36.3,12.98,22.45,10.55,32.23,82,91.20331067,Satisfactory,Poor
36.51,12.68,23.68,10.6,25.16,86,92.51893824,Satisfactory,Poor
37.71,12.52,24.42,9.32,23.29,107,88.86765791,Moderate,Moderate
35.73,12.94,23.82,11.37,21.22,165,90.89771289,Moderate,FALSE
36.27,13.16,24.01,11.1,25.34,150,203.5028196,Moderate,Very Poor
122.16,21.5,25.89,10.78,23.67,203,163.7600024,Poor,Very Poor
90.73,22.21,25.37,10.14,26.13,263,128.3354548,Poor,Very Poor
63.96,22.35,25.85,9.37,23.01,196,106.7493107,Moderate,Poor
48.79,15.46,27.06,13.63,24.94,156,91.58839263,Moderate,Poor
34.96,14.19,23.99,9.58,31.38,147,91.85640209,Moderate,Poor
37.55,13.58,29.5,8.24,20.22,109,83.31635775,Moderate,Moderate
31.54,12.4,25.99,7.93,18.08,121,91.88277372,Moderate,Poor
37.74,12.9,29.24,6.07,17.91,83,96.62318988,Satisfactory,Poor
41.27,14.19,48.55,7.1,19.12,241,105.6657204,Poor,Poor
47.68,13.2,74.89,9.12,24.82,133,149.9179748,Moderate,Very Poor
81.26,20.88,66.35,7.26,20.24,238,104.1201651,Poor,Poor
44.79,12.53,65.37,5.03,28.69,175,119.2475046,Moderate,Poor
50.98,12.27,73.15,8.34,56.16,136,114.1838775,Moderate,Poor
46.79,12.05,71.95,8.23,57.43,130,124.0420995,Moderate,Very Poor
54,13.79,73,9.78,59.47,128,122.5814115,Moderate,Very Poor
52.65,11.71,77.18,8.2,60.46,136,123.3921032,Moderate,Very Poor
55.75,12.9,67.45,6.93,47.37,125,116.9219487,Moderate,Poor
52.29,10.92,58.32,9.78,44.29,113,102.1222646,Moderate,Poor
41.39,9.93,67.74,8.92,42.18,195,108.1950875,Moderate,Poor
44.08,10.76,64.13,8.96,50.33,174,107.7433556,Moderate,Poor
41.44,11.73,56.08,10.96,61.39,142,104.2005683,Moderate,Poor
41.96,13.78,65.03,8.85,44.1,122,102.8307114,Moderate,Poor
41.8,13.77,60.9,8.37,39.61,135,101.9195005,Moderate,Poor
43.18,15.87,67.74,6.42,27.51,128,106.9969343,Moderate,Poor
44.74,23.81,53.83,6.37,32.31,204,119.5314201,Poor,Poor
53.31,18.91,142.84,7.08,43.44,132,102.5684469,Moderate,Poor
38.73,16,129.91,6.04,50.61,154,83.43535974,Moderate,Moderate
23.46,13.02,210.06,5.22,56.36,119,163.5406732,Moderate,Very Poor
76.42,13.89,46.22,7.75,92.04,117,125.1271055,Moderate,Very Poor
53.36,15.85,186.57,6.6,64.95,183,107.6105538,Moderate,Poor
44.5,15.41,197.29,5.01,43.68,100,122.6676658,Satisfactory,Very Poor
51.11,14.79,176.1,3.91,64.42,106,130.2321738,Moderate,Very Poor
55.76,14.72,210.23,2.98,69.77,132,119.2871622,Moderate,Poor
49.55,13.89,124.02,3.53,58.57,122,97.28339213,Moderate,Poor
31.49,12.65,128.37,5.31,65.97,105,98.18002668,Moderate,Poor
30.89,12.88,148.89,3.37,70.3,133,101.5710099,Moderate,Poor
36.51,13.25,145.71,4.9,58.16,98,87.12831939,Satisfactory,Moderate
30.69,11.68,64.36,4.21,32.87,98,83.28220532,Satisfactory,Moderate
28.66,9.19,5.61,4.45,28.91,89,93.09833636,Satisfactory,Poor
33.37,8.59,12.4,4.83,42.39,87,88.00520317,Satisfactory,Moderate
29.11,7.91,135.17,5.28,48.21,126,85.99467199,Moderate,Moderate
27.08,7.74,142.9,4.81,50.22,90,82.12761085,Satisfactory,Moderate
25.63,8.34,81.89,6.64,43.05,93,96.68577293,Satisfactory,Poor
35.35,8.2,130.64,4.21,48.89,96,103.9584945,Satisfactory,Poor
36.82,8.01,68.35,4.03,65.25,107,99.76072606,Moderate,Poor
36.96,8.11,131.43,5.08,53.11,103,110.5039707,Moderate,Poor
44.41,8.91,141.84,5.82,57.22,112,92.56851387,Moderate,Poor
29.55,7.53,142.26,4.82,61.76,113,93.96319686,Moderate,Poor
31.97,7.9,172.14,4.7,56.35,99,88.35167937,Satisfactory,Moderate
28.82,7.8,119.06,4.67,49.71,103,91.58435418,Moderate,Poor
32.64,7.94,113.53,4.2,43.19,161,114.6464828,Moderate,Poor
52.16,5.88,142.71,1.97,35.62,85,126.6703295,Satisfactory,Very Poor
61.87,7.03,142.71,4.95,35.67,80,108.1888102,Satisfactory,Poor
48.08,6.79,139.64,4,32.87,107,99.07810983,Moderate,Poor
40.81,6.05,180.77,3.34,34.14,121,106.8201456,Moderate,Poor
40.96,6.76,302.08,2.65,36.71,100,149.9754905,Satisfactory,Very Poor
46.17,5.56,147.67,2.63,36.39,108,228.8720053,Moderate,Very Poor
78.83,7.55,86.29,2.85,36.2,97,118.6861239,Satisfactory,Poor
138.07,8.62,134.62,4.44,45.23,130,104.8077963,Moderate,Poor
54.85,8.39,122.67,3.41,36.62,113,102.9296686,Moderate,Poor
42.45,7.61,104.23,3.99,44.62,106,109.9573379,Moderate,Poor
46.16,7.64,80.86,5.37,22.53,102,103.8063094,Moderate,Poor
48.64,7.96,69.02,4.69,34.27,129,93.54697486,Moderate,Poor
44.78,8.38,102.37,3.82,30.28,130,102.0234174,Moderate,Poor
39.11,8.47,123.26,3.01,20.24,114,130.7424949,Moderate,Very Poor
42.67,19.41,209.8,3.55,29.24,117,120.4483936,Moderate,FALSE
65.01,18.15,223.87,1.62,27.77,103,121.1695136,Moderate,Very Poor
